1;520;38
2;638;97
3;601;6
4;159;42
5;809;99
6;582;47
7;140;61
8;637;47
9;845;11
10;710;13
11;646;49
12;320;16
13;622;25
14;945;40
15;876;16
16;625;8
17;846;31
18;651;85
19;150;67
20;117;49
21;463;69
22;112;29
23;556;51
24;464;98
25;138;91
26;869;44
27;575;37
28;947;48
29;697;55
30;553;91
31;462;98
32;583;86
33;21;20
34;21;63
35;53;5
36;990;34
37;280;62
38;335;69
39;297;29
40;270;32
41;604;55
42;214;85
43;224;68
44;745;87
45;169;10
46;977;66
47;764;80
48;126;40
49;470;62
50;661;25
51;832;73
52;626;20
53;551;39
54;892;64
55;381;28
56;685;53
57;907;55
58;556;61
59;443;95
60;794;16
61;756;63
62;309;15
63;60;63
64;632;95
65;579;36
66;359;93
67;414;20
68;996;47
69;681;7
70;6;25
71;674;58
72;931;35
73;628;80
74;54;43
75;5;39
76;857;83
77;144;12
78;30;77
79;802;84
80;233;87
81;137;14
82;928;5
83;346;56
84;169;49
85;911;9
86;418;29
87;786;10
88;835;71
89;395;70
90;968;56
91;312;79
92;833;56
93;898;93
94;782;85
95;343;14
96;874;76
97;44;25
98;961;18
99;831;48
100;236;83
101;555;99
102;783;7
103;272;49
104;396;57
105;801;97
106;488;25
107;565;27
108;392;11
109;658;64
110;854;56
111;724;64
112;826;6
113;20;44
114;45;75
115;55;46
116;794;17
117;307;57
118;647;69
119;484;79
120;287;19
121;953;59
122;989;95
123;237;65
124;322;61
125;114;62
126;698;61
127;405;95
128;675;77
129;929;63
130;795;10
131;554;52
132;916;39
133;766;79
134;365;39
135;909;31
136;195;64
137;766;64
138;95;29
139;595;26
140;719;64
141;426;16
142;986;84
143;65;47
144;176;91
145;20;71
146;88;11
147;845;70
148;703;24
149;714;13
150;972;93
151;105;26
152;712;36
153;898;58
154;729;43
155;260;23
156;706;22
157;36;21
158;339;13
159;993;73
160;583;45
161;530;13
162;469;18
163;699;73
164;962;49
165;782;67
166;282;18
167;857;81
168;893;97
169;132;33
170;152;5
171;962;62
172;894;51
173;849;75
174;675;64
175;930;97
176;410;99
177;318;60
178;604;52
179;714;47
180;950;85
181;402;49
182;325;51
183;861;21
184;245;60
185;813;24
186;110;45
187;251;84
188;841;86
189;600;66
190;238;35
191;437;87
192;690;11
193;180;81
194;861;37
195;965;65
196;836;10
197;20;35
198;97;94
199;905;28
200;83;8
201;165;94
202;9;46
203;97;90
204;772;15
205;456;99
206;290;79
207;709;84
208;661;33
209;878;43
210;991;22
211;572;15
212;825;30
213;585;10
214;333;68
215;200;50
216;819;53
217;782;37
218;925;85
219;535;65
220;254;79
221;507;59
222;685;77
223;16;71
224;194;75
225;606;95
226;176;66
227;21;44
228;187;5
229;30;77
230;705;76
231;264;22
232;860;22
233;266;64
234;299;17
235;328;24
236;411;91
237;110;98
238;554;73
239;501;84
240;792;72
241;258;13
242;23;77
243;284;70
244;215;40
245;578;24
246;378;43
247;171;26
248;939;42
249;161;31
250;443;21
251;286;94
252;520;40
253;376;23
254;10;80
255;59;80
256;884;82
257;492;81
258;748;65
259;871;5
260;133;12
261;741;57
262;15;69
263;455;42
264;449;25
265;10;19
266;94;83
267;843;80
268;306;51
269;759;81
270;295;86
271;249;5
272;971;53
273;962;94
274;12;39
275;397;98
276;897;54
277;566;69
278;95;18
279;944;59
280;334;50
281;822;26
282;185;26
283;554;85
284;422;96
285;890;91
286;943;39
287;76;71
288;706;40
289;999;30
290;196;82
291;849;80
292;73;38
293;540;77
294;674;21
295;527;100
296;49;52
297;67;80
298;716;47
299;584;6
300;797;77
301;39;63
302;818;92
303;962;84
304;307;19
305;909;97
306;447;63
307;297;75
308;286;51
309;244;41
310;478;10
311;944;46
312;158;79
313;291;48
314;290;77
315;674;70
316;568;39
317;600;24
318;435;37
319;859;54
320;946;54
321;793;86
322;685;7
323;586;61
324;797;33
325;167;55
