1,520,41
2,638,106
3,601,6
4,159,46
5,809,108
6,582,51
7,140,67
8,637,51
9,845,12
10,710,14
11,646,53
12,320,17
13,622,27
14,945,44
15,876,17
16,625,8
17,846,34
18,651,93
19,150,73
20,117,53
21,463,75
22,112,31
23,556,56
24,464,107
25,138,100
26,869,48
27,575,40
28,947,52
29,697,60
30,553,100
31,462,107
32,583,94
33,21,22
34,21,69
35,53,5
36,990,37
37,280,68
38,335,75
39,297,31
40,270,35
41,604,60
42,214,93
43,224,74
44,745,95
45,169,11
46,977,72
47,764,88
48,126,44
49,470,68
50,661,27
51,832,80
52,626,22
53,551,42
54,892,70
55,381,30
56,685,58
57,907,60
58,556,67
59,443,104
60,794,17
61,756,69
62,309,16
63,60,69
64,632,104
65,579,39
66,359,102
67,414,22
68,996,51
69,681,7
70,6,27
71,674,63
72,931,38
73,628,88
74,54,47
75,5,42
76,857,91
77,144,13
78,30,84
79,802,92
80,233,95
81,137,15
82,928,5
83,346,61
84,169,53
85,911,9
86,418,31
87,786,11
88,835,78
89,395,77
90,968,61
91,312,86
92,833,61
93,898,102
94,782,93
95,343,15
96,874,83
97,44,27
98,961,19
99,831,52
100,236,91
101,555,108
102,783,7
103,272,53
104,396,62
105,801,106
106,488,27
107,565,29
108,392,12
109,658,70
110,854,61
111,724,70
112,826,6
113,20,48
114,45,82
115,55,50
116,794,18
117,307,62
118,647,75
119,484,86
120,287,20
121,953,64
122,989,104
123,237,71
124,322,67
125,114,68
126,698,67
127,405,104
128,675,84
129,929,69
130,795,11
131,554,57
132,916,42
133,766,86
134,365,42
135,909,34
136,195,70
137,766,70
138,95,31
139,595,28
140,719,70
141,426,17
142,986,92
143,65,51
144,176,100
145,20,78
146,88,12
147,845,77
148,703,26
149,714,14
150,972,102
151,105,28
152,712,39
153,898,63
154,729,47
155,260,25
156,706,24
157,36,23
158,339,14
159,993,80
160,583,49
161,530,14
162,469,19
163,699,80
164,962,53
165,782,73
166,282,19
167,857,89
168,893,106
169,132,36
170,152,5
171,962,68
172,894,56
173,849,82
174,675,70
175,930,106
176,410,108
177,318,66
178,604,57
179,714,51
180,950,93
181,402,53
182,325,56
183,861,23
184,245,66
185,813,26
186,110,49
187,251,92
188,841,94
189,600,72
190,238,38
191,437,95
192,690,12
193,180,89
194,861,40
195,965,71
196,836,11
197,20,38
198,97,103
199,905,30
200,83,8
201,165,103
202,9,50
203,97,99
204,772,16
205,456,108
206,290,86
207,709,92
208,661,36
209,878,47
210,991,24
211,572,16
212,825,33
213,585,11
214,333,74
215,200,55
216,819,58
217,782,40
218,925,93
219,535,71
220,254,86
221,507,64
222,685,84
223,16,78
224,194,82
225,606,104
226,176,72
